JCR Year and Edition: 2010 Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
BRAIN BEHAV IMMUN;0889-1591;3761;3.956;4.646;1.147;150;3.9;0.01418;1.445;
BRAIN COGNITION;0278-2626;4609;2.838;3.047;0.731;130;7.0;0.01056;1.023;
BRAIN IMPAIR;1443-9646;90;0.435;;0.857;7;;0.00034;;
BRAIN INJURY;0269-9052;3553;1.750;2.146;0.132;136;7.5;0.00726;0.562;
BRAIN LANG;0093-934X;5070;3.162;3.407;0.693;75;9.4;0.00950;1.230;
BRAIN PATHOL;1015-6305;3530;4.741;4.986;1.062;113;6.6;0.00935;1.661;
BRAIN RES;0006-8993;57416;2.623;2.665;0.441;1128;>10.0;0.09200;0.820;
BRAIN RES BULL;0361-9230;8198;2.498;2.451;0.729;188;9.3;0.01571;0.758;
BRAIN RES REV;0165-0173;8556;8.842;8.137;1.800;45;7.3;0.02480;2.926;
BRAIN STIMUL;1935-861X;283;4.964;4.964;0.269;26;2.3;0.00188;1.760;
BRAIN STRUCT FUNCT;1863-2653;490;4.982;4.926;1.820;50;2.4;0.00343;2.183;
BRAIN TOPOGR;0896-0267;1000;3.288;2.516;1.048;42;8.0;0.00200;0.804;
CELL MOL NEUROBIOL;0272-4340;2547;2.423;2.603;0.333;159;5.8;0.00681;0.725;
CEPHALALGIA;0333-1024;7292;4.265;4.244;0.574;155;6.4;0.01563;1.087;
CEREB CORTEX;1047-3211;17284;6.844;7.200;1.428;264;5.5;0.07334;3.019;
CEREBELLUM;1473-4222;1025;3.288;3.483;0.589;56;3.3;0.00498;1.096;
CESK SLOV NEUROL N;1210-7859;129;0.393;0.249;0.033;91;2.9;0.00007;0.008;
CHEM SENSES;0379-864X;3194;2.327;2.252;0.813;75;7.5;0.00796;0.739;
CHEMOSENS PERCEPT;1936-5802;67;1.091;1.091;0.300;20;;0.00031;0.292;
CLIN AUTON RES;0959-9851;965;1.333;1.553;0.217;46;7.6;0.00215;0.491;
CLIN EEG NEUROSCI;1550-0594;274;1.325;1.441;0.250;32;3.7;0.00145;0.441;
CLIN NEUROPHYSIOL;1388-2457;9894;2.786;3.298;0.563;247;6.1;0.02747;1.001;
CNS NEUROL DISORD-DR;1871-5273;860;3.618;4.545;0.639;72;3.3;0.00451;1.307;
CNS NEUROSCI THER;1755-5930;243;3.492;3.492;0.617;47;2.1;0.00105;0.884;
COGN AFFECT BEHAV NE;1530-7026;1822;3.512;5.150;0.674;46;5.6;0.00777;2.141;
COGN NEURODYNAMICS;1871-4080;152;1.625;1.604;0.188;32;2.4;0.00069;0.390;
COGN NEUROSCI-UK;1758-8928;13;;;0.250;52;;0.00000;;
COGN SYST RES;1389-0417;223;1.000;1.073;1.034;29;4.4;0.00091;0.425;
CORTEX;0010-9452;4788;7.251;5.270;1.453;106;4.8;0.01156;1.257;
CURR ALZHEIMER RES;1567-2050;1727;4.953;4.788;0.762;80;3.4;0.00825;1.308;
CURR NEUROL NEUROSCI;1528-4042;974;2.697;;0.333;60;3.9;0.00475;;
CURR NEUROPHARMACOL;1570-159X;454;2.783;2.993;0.026;38;3.6;0.00241;0.919;
CURR NEUROVASC RES;1567-2026;628;3.047;3.187;0.312;32;3.9;0.00239;0.741;
CURR OPIN NEUROBIOL;0959-4388;10126;6.891;8.594;0.962;104;7.1;0.04241;4.773;
CURR OPIN NEUROL;1350-7540;4103;5.021;5.244;0.638;94;5.3;0.01603;1.883;
DEV DISABIL RES REV;1940-5510;328;3.436;3.462;1.613;31;2.0;0.00155;1.026;
DEV NEUROBIOL;1932-8451;1059;2.855;2.948;0.855;69;2.8;0.00750;1.172;
DEV NEUROSCI-BASEL;0378-5866;1771;2.707;2.935;0.143;28;7.9;0.00495;1.192;
ENCEPHALE;0013-7006;845;0.421;0.396;0.045;110;8.1;0.00133;0.094;
EUR J NEUROL;1351-5101;5620;3.765;3.493;0.821;234;4.2;0.02128;0.994;
EUR J NEUROSCI;0953-816X;26729;3.658;3.812;0.564;424;6.5;0.08568;1.424;
EUR J PAIN;1090-3801;3494;3.819;4.439;0.767;150;4.4;0.01433;1.396;
EUR NEUROL;0014-3022;2493;1.760;1.639;0.306;111;9.6;0.00449;0.526;
EUR NEUROPSYCHOPHARM;0924-977X;3534;4.201;4.284;0.621;95;5.2;0.01123;1.208;
EXP BRAIN RES;0014-4819;19134;2.296;2.400;0.414;447;>10.0;0.03557;0.791;
EXP NEUROL;0014-4886;16378;4.436;4.265;0.890;281;7.3;0.03971;1.328;
FOLIA NEUROPATHOL;1641-4640;361;1.222;1.234;0.167;36;5.2;0.00093;0.242;
FRONT CELL NEUROSCI;1662-5102;104;3.588;3.571;1.074;27;1.4;0.00059;1.440;
FRONT COMPUT NEUROSC;1662-5188;113;2.586;2.676;0.259;54;2.0;0.00099;1.377;
FRONT HUM NEUROSCI;1662-5161;206;1.940;2.083;0.585;53;1.7;0.00146;0.899;
FRONT NEURAL CIRCUIT;1662-5110;135;3.960;4.241;;;1.9;0.00161;2.862;
FRONT NEUROENDOCRIN;0091-3022;2595;12.750;12.067;1.912;34;5.7;0.00795;3.900;
FUNCT NEUROL;0393-5264;483;1.481;1.266;0.048;21;9.2;0.00079;0.283;
GAIT POSTURE;0966-6362;4435;2.313;2.936;0.239;234;5.3;0.01227;0.763;
GENES BRAIN BEHAV;1601-1848;2195;4.061;4.213;0.408;103;3.7;0.01162;1.486;
GLIA;0894-1491;9188;5.186;5.540;1.263;171;6.0;0.02867;1.878;
HEARING RES;0378-5955;7155;2.428;2.470;0.584;178;>10.0;0.01371;0.893;
HIPPOCAMPUS;1050-9631;6384;4.609;5.289;1.339;121;6.4;0.02325;2.207;
HUM BRAIN MAPP;1065-9471;9363;5.107;6.130;1.037;162;5.8;0.03441;2.328;
HUM MOVEMENT SCI;0167-9457;1966;1.967;2.531;0.228;79;8.3;0.00428;0.796;
IDEGGYOGY SZEMLE;0019-1442;101;0.236;;0.128;39;4.5;0.00033;;
INT J DEV NEUROSCI;0736-5748;2218;1.938;2.565;0.282;78;6.8;0.00591;0.789;
INT J NEUROPSYCHOPH;1461-1457;3053;4.699;4.694;0.874;119;4.0;0.01105;1.318;
INT J NEUROSCI;0020-7454;1926;0.818;0.912;0.180;122;>10.0;0.00320;0.262;
INT J PSYCHOPHYSIOL;0167-8760;4023;2.378;2.740;0.320;122;7.1;0.01016;0.839;
INT REV NEUROBIOL;0074-7742;1678;2.183;2.568;0.000;57;5.4;0.00620;0.869;
J ALZHEIMERS DIS;1387-2877;4071;4.261;5.072;0.710;504;3.2;0.01415;1.245;
J CEREBR BLOOD F MET;0271-678X;11677;4.522;5.055;1.404;188;7.8;0.02796;1.686;
J CHEM NEUROANAT;0891-0618;1709;2.121;2.330;0.717;60;7.9;0.00287;0.652;
J CLIN NEUROPHYSIOL;0736-0258;2138;1.154;1.562;0.075;67;9.8;0.00292;0.506;
J CLIN NEUROSCI;0967-5868;2769;1.165;1.232;0.197;416;4.4;0.01005;0.370;
J COGNITIVE NEUROSCI;0898-929X;12437;5.357;6.280;1.179;218;6.6;0.03949;2.415;
J COMP NEUROL;0021-9967;33946;3.774;4.043;0.747;269;>10.0;0.05177;1.565;
J COMP PHYSIOL A;0340-7594;4670;2.000;2.138;0.407;81;>10.0;0.00841;0.832;
J COMPUT NEUROSCI;0929-5313;1447;2.325;2.448;0.397;78;6.9;0.00473;0.982;
J ELECTROMYOGR KINES;1050-6411;2669;2.372;2.601;0.340;159;6.3;0.00618;0.694;
J HEADACHE PAIN;1129-2369;661;2.015;;0.603;78;3.2;0.00284;;
J HIST NEUROSCI;0964-704X;118;0.229;;0.000;18;8.9;0.00029;;
J INT NEUROPSYCH SOC;1355-6177;3764;2.910;3.327;0.355;121;6.4;0.01087;1.110;
J INTEGR NEUROSCI;0219-6352;264;1.216;;0.300;20;4.3;0.00102;;
J MOL NEUROSCI;0895-8696;2603;2.922;2.497;0.674;141;5.6;0.00782;0.771;
J MOTOR BEHAV;0022-2895;1767;1.650;2.022;0.119;42;>10.0;0.00284;0.634;
J NEURAL ENG;1741-2560;1045;2.628;;0.536;69;3.7;0.00615;;
J NEURAL TRANSM;0300-9564;4925;2.597;2.643;0.428;159;6.0;0.01299;0.736;
J NEURAL TRANSM-SUPP;0303-6995;1129;0.286;1.890;;;>10.0;0.00186;0.558;
J NEUROCHEM;0022-3042;38828;4.337;4.480;0.655;591;7.7;0.09265;1.425;
J NEURODEV DISORD;1866-1947;40;1.269;1.269;0.318;22;;0.00026;0.519;
J NEUROENDOCRINOL;0953-8194;5535;4.650;3.931;0.856;139;6.6;0.01361;1.154;
J NEUROENG REHABIL;1743-0003;647;2.638;;0.183;60;3.8;0.00326;;
J NEUROGENET;0167-7063;422;1.950;1.791;0.045;22;8.9;0.00160;0.906;
J NEUROIMMUNE PHARM;1557-1890;712;3.528;4.212;1.451;51;3.2;0.00398;1.360;
J NEUROIMMUNOL;0165-5728;9230;2.901;2.942;0.472;231;7.4;0.02263;0.932;
J NEUROINFLAMM;1742-2094;1148;5.785;;0.418;98;3.0;0.00555;;
J NEUROL SCI;0022-510X;11103;2.167;2.492;0.443;350;8.5;0.02621;0.789;
J NEUROL SCI-TURK;1302-1664;25;0.071;;0.031;65;;0.00006;;
J NEUROLINGUIST;0911-6044;613;1.742;1.813;0.217;46;6.9;0.00157;0.605;
J NEUROPATH EXP NEUR;0022-3069;8231;4.190;4.788;0.529;102;8.8;0.01725;1.557;
J NEUROPHYSIOL;0022-3077;42143;3.114;3.686;0.594;633;9.8;0.09666;1.535;
J NEUROPSYCH CLIN N;0895-0172;2923;1.981;3.007;0.278;54;8.9;0.00538;0.946;
J NEUROSCI;0270-6474;139902;7.271;8.068;1.099;1661;7.1;0.46970;3.409;
J NEUROSCI METH;0165-0270;9620;2.100;2.262;0.309;350;7.5;0.02745;0.857;
J NEUROSCI RES;0360-4012;14555;2.958;3.151;0.646;342;7.2;0.03452;0.993;
J NEUROTRAUM;0897-7151;6735;3.426;4.324;0.533;210;6.1;0.01843;1.284;
J NEUROVIROL;1355-0284;1874;2.243;2.222;0.260;50;7.4;0.00399;0.651;
J PAIN;1526-5900;3552;4.851;4.660;0.487;156;3.9;0.01573;1.413;
J PERIPHER NERV SYST;1085-9489;852;3.032;3.459;0.463;41;5.1;0.00332;1.090;
J PHYSIOL-LONDON;0022-3751;47530;5.139;4.982;1.327;361;>10.0;0.09850;1.923;
J PHYSIOL-PARIS;0928-4257;1542;3.030;2.720;0.553;38;8.4;0.00337;1.034;
J PINEAL RES;0742-3098;4490;5.855;4.823;0.776;85;5.2;0.00751;0.761;
J PSYCHIATR NEUROSCI;1180-4882;1734;4.893;4.704;0.622;37;5.7;0.00531;1.448;
J PSYCHOPHARMACOL;0269-8811;3376;3.801;4.067;0.469;224;4.8;0.01071;1.095;
J PSYCHOPHYSIOL;0269-8803;626;0.913;2.726;0.290;31;6.0;0.00194;0.886;
J SLEEP RES;0962-1105;2800;3.361;3.736;0.972;72;7.7;0.00587;1.125;
J VESTIBUL RES-EQUIL;0957-4271;645;0.830;1.223;0.000;20;>10.0;0.00108;0.401;
JARO-J ASSOC RES OTO;1525-3961;1084;3.038;3.079;0.551;49;5.3;0.00459;1.247;
LEARN MEMORY;1072-0502;4754;4.607;4.778;0.633;79;5.8;0.01936;1.996;
METAB BRAIN DIS;0885-7490;1042;2.343;2.409;0.283;53;6.1;0.00265;0.672;
MOL CELL NEUROSCI;1044-7431;6743;3.861;3.959;0.711;121;6.1;0.02705;1.723;
MOL NEUROBIOL;0893-7648;2037;6.068;4.904;0.780;59;6.0;0.00646;1.689;
MOL NEURODEGENER;1750-1326;621;5.361;5.441;0.238;63;2.3;0.00377;1.750;
MOL PAIN;1744-8069;1139;4.148;4.350;0.354;96;2.8;0.00799;1.622;
MOL PSYCHIATR;1359-4184;11337;15.470;13.253;3.248;101;5.1;0.04398;4.772;
MOTOR CONTROL;1087-1640;484;1.204;1.831;0.143;28;6.4;0.00141;0.617;
MUSCLE NERVE;0148-639X;8510;2.302;2.621;0.471;255;8.8;0.01730;0.858;
NAT NEUROSCI;1097-6256;35315;14.191;16.190;3.202;208;6.1;0.17608;8.787;
NAT REV NEUROSCI;1471-0048;21755;29.510;32.753;4.800;65;5.4;0.11197;15.642;
NETWORK-COMP NEURAL;0954-898X;742;0.957;1.667;0.250;4;9.5;0.00120;0.795;
NEURAL COMPUT;0899-7667;7581;2.290;2.949;0.460;113;9.8;0.01283;1.117;
NEURAL DEV;1749-8104;388;3.395;3.505;0.375;32;2.5;0.00496;2.389;
NEURAL NETWORKS;0893-6080;5825;1.972;2.670;0.293;123;>10.0;0.01061;0.868;
NEURAL REGEN RES;1673-5374;109;0.180;;0.009;320;1.9;0.00056;;
NEUROBIOL AGING;0197-4580;12421;6.634;6.438;1.528;212;5.8;0.03666;1.998;
NEUROBIOL DIS;0969-9961;8685;5.121;4.972;1.320;256;4.7;0.03285;1.575;
NEUROBIOL LEARN MEM;1074-7427;3732;3.701;3.721;0.500;134;5.3;0.01329;1.328;
NEUROCHEM INT;0197-0186;5586;3.601;3.245;0.586;244;5.2;0.01493;0.849;
NEUROCHEM J+;1819-7124;64;0.151;0.288;0.024;42;;0.00013;0.045;
NEUROCHEM RES;0364-3190;6458;2.608;2.573;0.323;248;6.4;0.01522;0.686;
NEUROCIRUGIA;1130-1473;173;0.366;0.417;0.043;46;5.3;0.00048;0.103;
NEURODEGENER DIS;1660-2854;877;3.791;;0.692;65;3.4;0.00444;;
NEUROENDOCRINOL LETT;0172-780X;1750;1.621;1.404;0.194;155;4.2;0.00447;0.262;
NEUROENDOCRINOLOGY;0028-3835;4706;3.272;3.267;0.486;74;>10.0;0.00554;0.848;
NEUROFORUM;0947-0875;6;0.083;;0.000;13;;0.00001;;
NEUROGASTROENT MOTIL;1350-1925;3133;3.349;3.154;0.784;185;3.8;0.01146;0.899;
NEUROIMAG CLIN N AM;1052-5149;848;1.420;2.109;0.267;45;5.7;0.00308;0.753;
NEUROIMAGE;1053-8119;44083;5.937;6.821;1.229;970;5.4;0.15347;2.274;
NEUROIMMUNOMODULAT;1021-7401;1019;2.642;2.585;0.590;61;5.1;0.00280;0.665;
NEUROINFORMATICS;1539-2791;470;3.027;3.923;0.500;20;5.2;0.00191;1.260;
NEUROL CLIN;0733-8619;1573;2.533;2.310;0.339;59;7.5;0.00401;0.746;
NEUROL INDIA;0028-3886;999;0.834;1.108;0.277;155;6.0;0.00263;0.327;
NEUROL PSYCHIAT BR;0941-9500;89;0.100;0.117;0.000;12;;0.00009;0.030;
NEUROL RES;0161-6412;2979;1.621;1.819;0.218;193;6.2;0.00797;0.535;
NEUROL SCI;1590-1874;1768;1.220;1.271;0.164;214;5.4;0.00517;0.354;
NEUROMOL MED;1535-1084;994;4.657;3.955;0.853;34;4.4;0.00387;1.272;
NEUROMUSCULAR DISORD;0960-8966;3011;2.764;2.626;0.535;101;6.4;0.00938;0.922;
NEURON;0896-6273;59932;14.027;14.927;2.579;302;7.4;0.23746;8.265;
NEURON GLIA BIOL;1740-925X;475;2.611;3.374;0.780;41;3.8;0.00316;1.646;
NEUROPATH APPL NEURO;0305-1846;2379;3.625;3.388;0.917;48;7.7;0.00539;1.069;
NEUROPATHOLOGY;0919-6544;1173;1.605;1.740;0.457;81;4.5;0.00380;0.482;
NEUROPEPTIDES;0143-4179;1563;1.917;2.108;0.343;67;7.4;0.00293;0.546;
NEUROPHARMACOLOGY;0028-3908;12305;4.677;3.901;1.131;222;6.8;0.03224;1.283;
NEUROPHYSIOL CLIN;0987-7053;764;1.693;1.765;0.350;20;7.4;0.00163;0.493;
NEUROPHYSIOLOGY+;0090-2977;122;0.279;;0.074;27;7.1;0.00005;;
NEUROPSYCHOBIOLOGY;0302-282X;2324;2.567;2.583;0.569;58;8.4;0.00407;0.728;
NEUROPSYCHOL REHABIL;0960-2011;1064;1.731;2.354;0.244;45;6.9;0.00237;0.627;
NEUROPSYCHOL REV;1040-7308;1063;4.231;6.075;0.708;24;4.3;0.00424;2.061;
NEUROPSYCHOLOGIA;0028-3932;17420;3.949;4.739;0.603;458;7.4;0.04851;1.671;
NEUROPSYCHOLOGY;0894-4105;3995;3.176;3.927;0.493;75;7.4;0.00986;1.317;
NEUROPSYCHOPHARMACOL;0893-133X;16460;6.685;6.460;1.950;221;5.7;0.05276;2.136;
NEUROQUANTOLOGY;1303-5150;161;0.697;;0.772;57;2.0;0.00015;;
NEUROREPORT;0959-4965;17664;1.822;2.195;0.223;229;9.6;0.02665;0.752;
NEUROSCI BIOBEHAV R;0149-7634;10008;9.015;10.240;1.752;133;6.4;0.03053;3.593;
NEUROSCI LETT;0304-3940;29981;2.055;2.180;0.333;931;8.0;0.06168;0.650;
NEUROSCI RES;0168-0102;4147;2.096;2.339;0.315;143;6.7;0.01232;0.806;
NEUROSCIENCE;0306-4522;38010;3.215;3.480;0.563;899;7.7;0.09419;1.160;
NEUROSCIENTIST;1073-8584;2641;4.577;6.362;0.522;46;5.3;0.01231;2.611;
NEUROSIGNALS;1424-862X;648;3.967;3.732;0.235;17;5.1;0.00281;1.295;
NEUROSURG QUART;1050-6438;98;0.116;0.208;0.016;64;;0.00031;0.065;
NEUROTHERAPEUTICS;1933-7213;1287;6.084;;0.880;50;2.6;0.00761;;
NEUROTOX RES;1029-8428;1407;3.015;3.107;1.082;73;4.5;0.00456;0.839;
NEUROTOXICOL TERATOL;0892-0362;2620;2.622;2.795;0.671;73;8.6;0.00442;0.778;
NEUROTOXICOLOGY;0161-813X;3970;2.921;3.053;0.376;93;5.9;0.01033;0.827;
NUTR NEUROSCI;1028-415X;614;1.301;1.599;0.029;35;6.3;0.00131;0.383;
PAIN;0304-3959;26632;5.355;6.306;1.105;286;8.7;0.05149;1.886;
PHARMACOL BIOCHEM BE;0091-3057;12133;2.624;2.668;0.298;225;>10.0;0.01725;0.726;
PROG BRAIN RES;0079-6123;6938;3.134;3.414;0.263;114;6.5;0.02504;1.349;
PROG NEURO-PSYCHOPH;0278-5846;5889;2.877;2.968;0.521;217;5.1;0.01750;0.799;
PROG NEUROBIOL;0301-0082;9720;9.966;11.370;1.167;84;8.9;0.02114;4.112;
PSN-PSYCHIAT SCI HUM;1639-8319;13;0.081;;0.000;18;;0.00004;;
PSYCHIAT CLIN NEUROS;1323-1316;1960;1.559;1.710;0.146;89;6.0;0.00506;0.464;
PSYCHIAT GENET;0955-8829;1213;2.061;2.544;0.267;45;5.5;0.00360;0.717;
PSYCHONEUROENDOCRINO;0306-4530;7612;5.168;5.528;0.947;171;5.8;0.02216;1.668;
PSYCHOPHARMACOLOGY;0033-3158;22528;3.817;4.148;0.563;268;8.7;0.04288;1.182;
PSYCHOPHYSIOLOGY;0048-5772;8447;3.263;3.850;0.648;122;>10.0;0.01242;1.263;
PURINERG SIGNAL;1573-9538;612;2.975;;0.296;27;3.5;0.00406;;
RESTOR NEUROL NEUROS;0922-6028;1167;3.349;3.054;1.328;58;4.3;0.00338;0.864;
REV ECUAT NEUROL;1019-8113;9;0.020;0.017;;0;;0.00001;0.003;
REV NEUROSCIENCE;0334-1763;954;2.047;2.881;0.214;28;6.4;0.00295;1.007;
SEIZURE-EUR J EPILEP;1059-1311;2125;1.649;1.857;0.233;120;6.2;0.00558;0.534;
SLEEP;0161-8105;12494;5.486;6.116;0.850;173;7.2;0.02704;1.725;
SLEEP BIOL RHYTHMS;1446-9235;177;0.753;;0.000;36;3.8;0.00079;;
SLEEP MED REV;1087-0792;2399;6.338;7.696;1.750;36;5.7;0.00759;2.477;
SOC COGN AFFECT NEUR;1749-5016;889;4.482;;0.851;47;3.1;0.00727;;
SOC NEUROSCI-UK;1747-0919;492;2.823;3.639;0.171;41;3.1;0.00393;1.523;
SOMATOSENS MOT RES;0899-0220;738;1.115;1.549;0.056;18;>10.0;0.00112;0.637;
STEREOT FUNCT NEUROS;1011-6125;1179;1.882;1.925;0.286;56;8.6;0.00251;0.608;
STRESS;1025-3890;1102;2.553;3.005;0.509;55;5.8;0.00332;0.939;
SYNAPSE;0887-4476;5116;2.925;2.638;0.632;114;8.7;0.00927;0.786;
TRENDS COGN SCI;1364-6613;11991;9.686;14.015;1.984;61;6.3;0.04877;6.479;
TRENDS NEUROSCI;0166-2236;17347;13.320;14.358;2.339;62;8.5;0.05090;6.610;
VISION RES;0042-6989;15744;2.332;2.377;0.461;282;>10.0;0.02674;0.852;
VISUAL NEUROSCI;0952-5238;2684;1.692;1.737;0.062;16;>10.0;0.00539;0.747;
ZBL NEUROCHIR;0044-4251;287;0.947;0.944;;0;8.0;0.00075;0.306;
ZH VYSSH NERV DEYAT+;0044-4677;365;0.298;0.285;0.040;75;10.0;0.00024;0.030;

